date,dgs1,dgs10
2024-01-01,,
2024-01-02,4.8,3.95
2024-01-03,4.81,3.91
2024-01-04,4.85,3.99
2024-01-05,4.84,4.05
2024-01-08,4.82,4.01
2024-01-09,4.82,4.02
2024-01-10,4.82,4.04
2024-01-11,4.75,3.98
2024-01-12,4.65,3.96
2024-01-15,,
2024-01-16,4.7,4.07
2024-01-17,4.8,4.1
2024-01-18,4.8,4.14
2024-01-19,4.84,4.15
2024-01-22,4.83,4.11
2024-01-23,4.81,4.14
2024-01-24,4.83,4.18
2024-01-25,4.76,4.14
2024-01-26,4.78,4.15
2024-01-29,4.76,4.08
2024-01-30,4.8,4.06
2024-01-31,4.73,3.99
2024-02-01,4.68,3.87
2024-02-02,4.81,4.03
2024-02-05,4.87,4.17
2024-02-06,4.82,4.09
2024-02-07,4.83,4.09
2024-02-08,4.83,4.15
2024-02-09,4.86,4.17
2024-02-12,4.87,4.17
2024-02-13,4.99,4.31
2024-02-14,4.94,4.27
2024-02-15,4.93,4.24
2024-02-16,4.98,4.3
2024-02-19,,
2024-02-20,4.97,4.27
2024-02-21,4.98,4.32
2024-02-22,5.02,4.33
2024-02-23,5.0,4.26
2024-02-26,5.03,4.28
2024-02-27,5.03,4.31
2024-02-28,5.0,4.27
2024-02-29,5.01,4.25
2024-03-01,4.94,4.19
2024-03-04,4.98,4.22
2024-03-05,4.94,4.13
2024-03-06,4.95,4.11
2024-03-07,4.93,4.09
2024-03-08,4.92,4.09
2024-03-11,4.95,4.1
2024-03-12,5.0,4.16
2024-03-13,5.01,4.19
2024-03-14,5.04,4.29
2024-03-15,5.05,4.31
2024-03-18,5.06,4.34
2024-03-19,5.06,4.3
2024-03-20,5.01,4.27
2024-03-21,5.01,4.27
2024-03-22,4.98,4.22
2024-03-25,5.0,4.25
2024-03-26,5.0,4.24
2024-03-27,4.99,4.2
2024-03-28,5.03,4.2
2024-03-29,,
