symbol,latest_trading_date,asset_value,asset_volatility,distance_to_default,pit_pd,converged,iterations
COST,2026-07-09,407605012091.8213,0.2222198869541011,22.42898189682741,0.0,True,1
KO,2026-07-09,377001579620.5004,0.1507829626533253,18.923910519490786,0.0,True,2
DELL,2026-07-09,464829417443.10913,0.3092133771487479,5.418380889506473,3.007059246051824e-08,True,3
ORCL,2026-07-09,455523536019.01245,0.3774058133413846,6.250023196025738,2.051958603033199e-10,True,2
PNC,2026-07-09,132763353465.44214,0.1810395348522637,7.767544770967771,3.9968028886505635e-15,True,2
WMT,2026-07-09,920933865853.9376,0.4613089991987183,7.344925445859582,1.0291767438275201e-13,True,2
INTU,2026-07-09,78098015145.62988,0.3639202136496466,8.497010373097698,0.0,True,2
AMZN,2026-07-09,2714636986805.1553,1.2474450161251114,2.468891369284434,0.0067766177600973,True,3
T,2026-07-09,194601016105.0066,0.4311577138484801,3.010951926589246,0.0013021504034936,True,4
KHC,2026-07-09,37847373647.52019,0.2862117894602818,5.041340704489851,2.3114078906427693e-07,True,2
